,year,total_renewable_energy(%),Country_code,country,is_aggregate
1877,1997,86.0563905726591,HPC,Heavily indebted poor countries (HIPC),True
1880,1997,7.40490978151864,OED,OECD members,True
1886,1997,33.8961716950437,LMY,Low & middle income,True
1894,1997,21.7285043918944,LTE,Late-demographic dividend,True
1901,1997,17.4743432804444,WLD,World,True
1902,1997,6.4265356228894,NAC,North America,True
1906,1997,84.3297066749052,LDC,Least developed countries: UN classification,True
1909,1997,28.6658995402185,LCN,Latin America & Caribbean,True
1910,1997,71.5890002468978,SSF,Sub-Saharan Africa,True
1919,1997,7.36665415865664,ECS,Europe & Central Asia,True
1922,1997,5.90246963751557,TEC,Europe & Central Asia (IDA & IBRD countries),True
1932,1997,31.6362214326508,EAR,Early-demographic dividend,True
1941,1997,71.5890002468978,TSS,Sub-Saharan Africa (IDA & IBRD countries),True
1942,1997,71.6042539763841,SSA,Sub-Saharan Africa (excluding high income),True
1946,1997,28.6807131239037,TLA,Latin America & the Caribbean (IDA & IBRD countries),True
1954,1997,27.8021445866482,SST,Small states,True
1971,1997,13.8604261830547,TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",True
1974,1997,63.2412934102344,AFE,Africa Eastern and Southern,True
1976,1998,63.9620962287123,AFE,Africa Eastern and Southern,True
1980,1998,13.7999677261396,TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",True
1982,1998,6.76351967447876,PST,Post-demographic dividend,True
1983,1998,79.2542556317962,PRE,Pre-demographic dividend,True
1992,1998,72.2743605643929,TSS,Sub-Saharan Africa (IDA & IBRD countries),True
1996,1998,28.8832971080511,LAC,Latin America & Caribbean (excluding high income),True
1997,1998,7.77890935568938,ECA,Europe & Central Asia (excluding high income),True
2000,1998,9.46007241845653,CEB,Central Europe and the Baltics,True
2008,1998,28.6993515133428,TLA,Latin America & the Caribbean (IDA & IBRD countries),True
2028,1998,72.2908084930423,SSA,Sub-Saharan Africa (excluding high income),True
2039,1998,7.48075477245522,ECS,Europe & Central Asia,True
2043,1998,5.97286112054329,TEC,Europe & Central Asia (IDA & IBRD countries),True
2049,1998,6.41485329145745,NAC,North America,True
2052,1998,31.4938825026666,EAR,Early-demographic dividend,True
2054,1998,84.370798539927,LDC,Least developed countries: UN classification,True
2057,1998,28.6273564189189,LCN,Latin America & Caribbean,True
2058,1998,72.2743605643929,SSF,Sub-Saharan Africa,True
2060,1998,7.47897452988038,OED,OECD members,True
2061,1998,9.6647582697201,CSS,Caribbean small states,True
2071,1998,21.6834506114157,LTE,Late-demographic dividend,True
2076,1998,8.59132250556151,EUU,European Union,True
2079,1998,17.6182879337665,WLD,World,True
2082,1998,32.4237423755006,MIC,Middle income,True
2092,1998,68.1842735422387,IDA,IDA total,True
2097,1998,34.0166314720297,LMY,Low & middle income,True
2100,1998,7.43163934115387,EMU,Euro area,True
2104,1998,50.1520740240766,TSA,South Asia (IDA & IBRD),True
2107,1998,50.1520740240766,SAS,South Asia,True
2120,1998,85.8702124366366,HPC,Heavily indebted poor countries (HIPC),True
2124,1998,77.1660634689243,IDX,IDA only,True
